black-gloves,0,431797,black-glove
one-eye-closed,0,429037,wink
alternate-costume,0,424020,"/acos,alternate-outfit,alternate-outfit,alternative-costume"
sleeveless,0,423899,no-sleeves
detached-sleeves,0,422967,"armsleeves,detached-sleeve,/dsleeves,naked-sleeves"
green-hair,0,414831,"/greenh,greenhair"
pants,0,414716,"long-pants,slacks,trousers"
shoes,0,413511,shoe
penis,0,406577,"cock,cocks,dick,dicks"
choker,0,400536,
japanese-clothes,0,392676,"japanese-clothing,traditional-japanese-clothes,wafuku"
virtual-youtuber,0,388733,vtuber
pointy-ears,0,385300,"elf-ears,elven-ears,long-ears,pointed-ears,pointy-ear,pointy-ears"
socks,0,380632,"leghighs,naked-socks,sock"
tongue,0,375974,tongues
medium-hair,0,373938,shoulder-length-hair
artist-name,0,371250,
barefoot,0,368823,"bare-feet,barefeet,bare-foot"
glasses,0,364481,"megane,meganekko,meganeko"
pussy,0,360734,"manko,vagina,vulva"
indoors,0,356760,
solo-focus,0,355110,
hand-up,0,346905,"hand-raised,one-hand-raised,raised-hand"
puffy-sleeves,0,346753,"/psleeves,puffy-shoulders"
black-thighhighs,0,343100,
belt,0,341894,belts
day,0,340538,
hairclip,0,333727,"barrette,hair-clip,hair-clips,hairclips"
official-alternate-costume,0,325698,"alternate-costume-(official),official-alternate-outfit"
fate-(series),3,322657,
fang,0,319921,
serafuku,0,314764,"sailor-fuku,/se"
official-art,5,304715,
elbow-gloves,0,303173,"/eg,long-gloves,opera-gloves"
bowtie,0,300225,"bow-tie,neck-bow"
2boys,0,299345,2boy
midriff,0,299247,
white-gloves,0,297307,white-glove
signature,0,295446,"artist-signature,autograph,signed"
hood,0,295109,
black-skirt,0,295107,
cloud,0,290329,clouds
blunt-bangs,0,286777,
black-footwear,0,284389,"black-boots,black-shoes"
dark-skin,0,283698,"brown-skin,darkskin,dark-skin-female,dark-skinned-female"
looking-back,0,279788,"looking-over-shoulder,turning"
cat-ears,0,278980,"/cat,catears,nekomimi"
hair-flower,0,277282,"flower-hair-ornament,flower-in-hair,hairflower,hair-flowers,/hflower"
tongue-out,0,276616,
pink-eyes,0,275858,
sailor-collar,0,272986,
sword,0,272826,swords
stomach,0,266762,
sex,0,265191,"fuck,fucking"
speech-bubble,0,264534,"speech-balloon,text-bubble,word-bubble"
white-dress,0,264404,
pokemon,3,264199,"pocket-monsters,pokémon,pokemons"
twitter-username,0,263709,artist-twitter
halo,0,262150,
grey-background,0,262105,"gray-background,/graybg,/greybg"
looking-at-another,0,262103,
fingerless-gloves,0,258956,fingerless-glove
miniskirt,0,258764,"mini-skirt,short-skirt"
holding-weapon,0,258448,
wide-sleeves,0,254910,/wsleeves
spread-legs,0,252207,"legs-spread,open-legs,spread-leg"
on-back,0,250706,"lying-on-back,supine"
mole,0,250508,beauty-mark
cum,0,246284,"cumshot,semen,sperm"
necklace,0,245059,
hair-over-one-eye,0,243471,"eye-covering-bang,hair-over-eye,/hooe"
streaked-hair,0,243421,highlights
hair-bun,0,242460,
3girls,0,242127,3girl
blue-archive,3,241742,
armpits,0,241340,"armpit,showing-armpits"
chibi,0,240022,super-deformed
off-shoulder,0,239265,"off-shoulder,off-shoulders"
kimono,0,237923,
nail-polish,0,237699,"colored-nails,nailpolish,nail-varnish,painted-nails"
open-jacket,0,237504,"open-blazer,open-track-jacket"
fate/grand-order,3,236826,fgo
two-tone-hair,0,236738,"/tth,two-tone-hair,two-tone-hair"
star-(symbol),0,236011,
english-text,0,235861,english
orange-hair,0,235315,
tears,0,234940,tear
striped-clothes,0,234413,striped-clothing
black-dress,0,233614,
grin,0,231208,grinning
from-behind,0,231119,viewed-from-behind
black-jacket,0,230095,black-blazer
black-eyes,0,228338,dark-eyes
idolmaster,3,228336,"idol-master,idolm@ster,the-idolmaster"
rabbit-ears,0,228064,"bunny-ear,bunny-ears,rabbit-ear"
blurry,0,225801,blurred
sweatdrop,0,225555,"sweat-drop,sweat-drops,sweatdrops"
bag,0,225534,bags
coat,0,222918,
water,0,222151,
from-side,0,220782,"side,side-view,viewed-from-side"
genshin-impact,3,217145,genshin
yuri,0,216436,"girl-love,girl's-love,girls-love,lesbian,shoujo-ai"
hololive,3,214881,
vest,0,213254,
cape,0,213099,
white-thighhighs,0,212397,
black-shirt,0,209036,black-blouse
armor,0,208734,armour
scarf,0,208466,muffler
red-bow,0,208047,
huge-breasts,0,207856,"/hb,huge-boobs,huge-breast,huge-tits"
clothes-lift,0,207463,
arm-up,0,207085,"arm-raised,one-arm-up,raised-arm"
apron,0,206033,
leotard,0,205923,
character-name,0,201813,
bad-twitter-id,5,201113,
bra,0,201083,
feet,0,200141,foot
mosaic-censoring,0,199018,"mosaic-censor,pixel-censor,rough-censoring"
high-heels,0,197937,"heels,highheels"
sweater,0,197105,sweatshirt
vaginal,0,194803,"vaginal-penetration,vaginal-sex"
blue-sky,0,193999,
animal-ear-fluff,0,193857,
crop-top,0,192511,
bracelet,0,191660,"bracelets,wristlet"
parted-bangs,0,191357,
black-pantyhose,0,191220,
collar,0,188725,
arms-up,0,187000,"arms-above,arms-above-head,arms-raised,hands-above-head,raised-arms"
:o,0,186475,:0
white-panties,0,186191,
dated,0,185673,
completely-nude,0,181710,completely-naked
grey-eyes,0,180282,"gray-eyes,silver-eyes"
cup,0,180145,"cups,drinking-cup"
red-ribbon,0,179519,
twin-braids,0,179029,"double-braid,twin-braid,twinbraid,twinbraids"
hands-up,0,178955,hands-raised
commission,5,178839,
fingernails,0,177354,"fingernail,finger-nails"
looking-to-the-side,0,177220,"looking-aside,looking-to-side"
dark-skinned-female,0,176717,dark-skinned-female
side-ponytail,0,175825,"side-tail,sidetail"
aqua-eyes,0,175701,"cyan-eyes,teal-eyes,turquoise-eyes"
puffy-short-sleeves,0,175132,short-puffy-sleeves
flat-chest,0,173941,"flatchest,flat-chested,pettanko,titty-buds,tsurupeta"
v-shaped-eyebrows,0,173765,
blue-skirt,0,173672,
two-side-up,0,171894,two-sides-up
neckerchief,0,170805,
orange-eyes,0,170109,
eyelashes,0,168978,eye-lashes
tree,0,166860,trees
symbol-shaped-pupils,0,163491,symbol-shaped-pupils
multiple-views,0,161584,
sleeves-past-wrists,0,160696,sleeves-past-wrist
chinese-commentary,5,160690,
covered-nipples,0,159138,"covered-erect-nipples,erect-nipple,erect-nipplees,erect-nipples,erect-nipples-under-clothes,errect-nipples,perky-nipples"
fur-trim,0,156305,fur-lining
mole-under-eye,0,156169,
vocaloid,3,156005,"/vo,vocaloid-2,vocaloid-3"
cat-tail,0,155841,cat-tails
clothing-cutout,0,154987,
strapless,0,154882,
see-through-clothes,0,152733,"see-through,seethrough,sheer-clothes,sheer-clothing,transparent-clothing"
hand-on-own-hip,0,152715,"hand-on-hip,hand-on-waist"
legs,0,151454,leg
toes,0,151450,
black-choker,0,150687,
wrist-cuffs,0,150595,"detached-cuffs,wrist-cuff,wristcuff,wristcuffs"
upper-teeth-only,0,150481,upper-teeth
sketch,0,150251,"rough,rough-sketch,/sk"
feet-out-of-frame,0,150081,
bar-censor,0,149133,"censor-bar,censor-bars"
sleeveless-shirt,0,149029,sleeveless-blouse
sleeveless-dress,0,148840,
wet,0,147660,"soaked,wet-body,wet-skin"
sparkle,0,146842,"sparkles,sparkling"
groin,0,146795,"adonis-belt,hip-lines,mound-of-venus"
maid,0,146593,"maid-costume,maid-dress,maid-outfit,maids,maid-uniform"
loli,0,146550,"lolicon,rori"
no-humans,0,146165,no-human
fake-animal-ears,0,145934,
